id,question1,question2,is_duplicate
226465,What are some unusual aspects about politics and government in Poland?,What are some unusual aspects about politics and government in Malaysia?,0
330469,Does facial asymmetry represent the lateral development of brain?,"Are feelings, like; doubt, confusion, and uncertainty a part on the emotional spectrum?",0
286420,What are the best universities for doing MS in Structural Engineering?,What are some good colleges for an MS in structural engineering in US?,1
201410,"Today’s fast paced business environment, what do you think are the top human challenges faced by organizations and how can they be addressed?",What are the top human challenges in today's fast paced business environment. How to address them?,1
63504,What is the best online coach for medical post-graduate entrance exam preparation?,Which is the best coaching class for the preparation of medical entrance exams in India?( UG and PG),1
67453,What are some great single purchase PC video games where you can use magic?,"Do you agree that comedian Leslie Jones is not funny and that she's weak, remember the scandal on Twitter?",0
213149,What's the best way to gain a following for a B2B brand on Facebook?,What's the best way to gain a following for your brand on Facebook?,0
341173,What does it mean when a guy stares at you from afar with a blank expression and you look back at him and he doesn't stop?,This guy who used to stare at me from afar now has started to high five me. Does this mean anything?,0
333639,Which is a suitable inpatient drug and alcohol rehab center near Coweta County GA?,What is a suitable inpatient drug and alcohol rehab center near Glascock County GA?,0
195909,Is the superfluid spacetime referred to by Sheldon and Leonard what ripples when Galaxy clusters collide and what waves in a double slit experiment?,Does a superfluid dark matter which ripples when Galaxy clusters collide and waves in a double slit experiment relate GR and QM?,0
381348,Elementary School: What does it feel like to be in the 3rd grade?,Elementary School and Elementary Schools: What does it feel like to be in 3rd grade?,0
269352,"After 2.5 years of Modi government, what are the changes in lives for the middle and lower class?","Why do people on Quora praise Modi so much, when I can not see any visible changes around me?",0
364028,"Why does Viber say I was ""Last online yesterday"" when I don't go on Viber even though my phone has the app?",Does Viber go offline when you lock your phone or when you're disconnected from your Wi-Fi/mobile data?,0
106782,How do I know if this introvert guy likes me or if he is just trying to be nice?,"I know this guy likes me and I like him, he just won't tell me he likes me. What should I do?",0
77245,How can incorporating clients exercise /physical activity preferences into their programme can strengthen and adherence?,How can I become a Nike+ Developer and get the client and secret keys to upload activities from exercise apps I made?,0
364976,If I should start a vinyl wrapping business for leased cars on the side for $1100 would people support it?,"How can you avoid having a problem with someone else on a plane without moving your seat, causing any discomfort to yourself, or having any problem?",0
174836,Will the value of Indian rupee increase after the ban of 500 and 1000 rupee notes?,What will be the effects of demonetisation of 500 and 1000 notes on the Indian economy?,1
73058,"Why don't people suffering from amnesia not forget fundamental things they learn, like their mother tongue?",Why are the people suffering from Amnesia not forgetting their mother tongue?,0
315908,I'm a virgin but my bf rubbed his penis on my vagina while I was on my pants and he was naked. Is there a chance to get pregnant?,Me n my bf had foreplay and just rubbed his penis over my vagina bt Iam virgin now and at he jerked off outside. Jst aftr 3 hr took unwanted 72?,0
20726,What are some unexpected things first-time visitors to Iran notice?,What are some unexpected things first-time visitors to Thailand notice?,0
193649,How many questions should I answer correctly in MAH CET to get in JBIMS for 2017 admissions?,What is level of competition to get admission in JBIMS MSc course?,0
309524,"What is the difference between long term, short term and medium term loan?",Which type of investment is better long term or short term. And why?,0
36780,"I want to use the C++ function in MATLAB's editor, but it doesn't work. What should I do?",How do I plot sin*2*pi*omega*to using Scatter function in MATLAB?,0
119208,"With a salary of only Rs 18,000/month, how can one afford to live in Mumbai?","With a salary of only Rs 15,000/month, how can one afford to live in pune?",0
155494,Who is the most popular character in the Game of Thrones series?,Who is the most underrated character in the Game of Thrones series?,0
371712,"In the U.S., why are so many Chinese women married to white men but not the other way around?",Are Chinese women and white men a good representation of yin and yang?,0
124370,Why is [math]\cos (30^\circ)[/math] equal to [math]\cos (-330^\circ)[/math]?,Why cos (-150) is equal to +cos(150) and not equal to -cos(150)?,0
377857,"I added someone on snapchat and as far as I'm aware they didn't add me back. This person appears on my ""my friends"" list. Can they view my stories?","On Snapchat, why does someone appear in my added me section but when I try to add them it says that they can't be found?",0
323685,Is there any way to read Facebook reviews from other user admin pages to my website? If it is possible please provide solution?,How do I block event invitations from a Facebook user or page?,0
100489,How can you find historical Second mortgage? | second mortgage rates?,"As a web developer, why do you like to develop websites from ""scratch"" instead of using CMS like Wordpress, Drupal, or Joomla?",0
110993,"If you had no option but to shoot a bullet from a balloon, what would be the best direction to cause least harm?","If you managed to suspend a drone inside a balloon (so the rotors didn't touch the balloon), what would happen when at take off?",0
58030,"I put my website online 1 month ago, it has 76 urls and Google just indexed 32. While Google is indexing how can improve the visits on my website?","I have an eCommerce website, and I'd like to know what kind of files/URL should I put in the robot.txt so Google won't index it? How do I take advantage of robot.txt?",0
135681,"What is the language that the people in the Vikings TV show speak when they pretend to use their native tongue? Is it actual Old Norse, or is it Icelandic, Norwegian, Danish or Swedish?",How true is it that Scandinavians speak to each other in their own native language when they go to each others' countries?,0
37182,Why is a synchronous generator used for generating electricity?,Why do we need two fluxes in a synchronous generator or a synchronous motor?,0
175074,Why are the Navy Seals considered by so many as worlds best special operations force?,Why does it seem people regard Navy SEALS as the best at everything?,1
164830,I am a final year student and i want to clear UPSC . Where should I start?,"I am third year engineering student and I want to start preparing for UPSC 2018, how should I start?",1
266703,How do I remove a massive amount of air from ink supply lines of the Epson 4000?,Is the Epson L210 worth it to buy? Are Ink Tank System printers good?,0
213252,What are the list of important question's asked to full stack developer?,"I nearly failed all the questions during full stack developer position interview, but still got hired, what happened?",0
135883,How do you solve Puzzle 16 in Professor Layton and the Curious Village?,How do you solve puzzle 116 of Professor Layton and the Curious Village?,0
396069,What will be the repercussions of banning Rs 500 and Rs 1000 notes on Indian economy?,How will India be affected now that 500 and 1000 rupee notes have been banned?,1
8263,"When I post a question on Quora, am I expected to play a more active curation role for that question?",Are Quora question authors expected to curate their questions?,0
317689,I have booked my ticket for tomorrow's show. I had booked my ticket for tomorrow's show. Which is correct and why?,My password for IT site has been lost and the agent who was supposed to file my IT return is not accessible… how to get the password?,0
117069,Show from first principles the spectrum of x(t) is sinc function?,Show from first principles the spectrum of x(t) is sinc functions?,1
245685,Is there one supply source better in comparison to the the other? How does the narc determine this?,Do narcissists ever regret discarding a source of supply and not being able to get them back? If so how did they deal with it?,0
277793,How do the tourist attractions on the Scandinavian Highlands compare to attractions in Belgium?,How do the tourist attractions on the Scandinavian Highlands compare to attractions in Iceland?,0
172204,How do I use Github as a beginner to do programming projects?,Is GitHub worth signing up for if you're a beginner at programming?,1
67343,"What is the cheapest, painless, easiest way to commit suicide?","What is the cheapest, easiest, least painful way to commit suicide?",1
318766,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M604dn?,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise 700 Printer M712dn?,1
184312,The 3 Week Diet plan was so refreshing and so simple to follow.,What is - from your point of view - the best product/service to sell online?,0
309113,How do I prevent myself from getting shocked by static electricity in winter?,"Why do I get a slight electric shock every time I get off my car, especially during winter?",0
122722,"Why is the YouTube video of ""Raise Your Glass"" not currently available in the United States?","Why are some YouTube videos like the video of ""Raise Your Glass"" not currently available in the United States?",1
